비속어|카테고리|text
비욕설|혐오|와 석유 나는 나라의 위엄이 바로 저런거로구나. 근데 저런 선진국이 될수 있는 나라가 일부 새끼들이 그 부를 독점하려고 차도르 씌우고 전쟁광 놀음 하고 있는거잖여
비욕설|일반|현빈넘모 멋ㅇㅎ
비욕설|혐오|우아 지오누나를 비방하더니 ㅋㅋ 이젠 생시람잡네 보수집권 멸망 아베대변인 주적은 북한이지만 니넨 쪽바리 제일 나쁘다는걸 명심해라
비욕설|섹슈얼|좆에 고인 물 쫙 빼내라. 그래야 건강하다. 여자 전신성감대 자극해서 네 자지에 맛들리게 해 그래야 오래 서로 즐기지. 좆넣기전에 애무 잊지말고
비욕설|일반|이쁘닌까 무죄
비욕설|혐오|악플 잡고 보면 90% 한녀들임 ㅋㅋ
비욕설|일반|문신하고 싶은데 후회할까?
비욕설|일반|이별 6개월후
비욕설|일반|별거 아닌데 떨려
비욕설|일반|뭐유.소유진은 어째 고딩같아유.갈수록 상큼해지네유.
비욕설|일반|고민되면 일단 통장에 넣어둬. 언제든 지를수있잖아
비욕설|일반|윤미래 타이거 jk 매니저들이 사기치고 짝짜꿍 음 해서 지금까지 번거 다 해먹고 이제 둘이서 활동한다던데 잘됐으면
비욕설|일반|미, ‘마스크 벗기’ 돌입…“한국 4월 코로나19 풍토병 전환” 예측도
비욕설|혐오|썸타려면 헤어지고 썸을 타야지, 잘 보면 지금 바람피고 있다는 소린데, 거기에 좋은 소리가 나올거 같냐?
비욕설|섹슈얼|제거 경험이 하나도 없어요. 여자 가슴 만져본적 1도 없고 여자 머리카락 만져본적 1도 없음 당연히 손도 못잡아 봄. 그 오피가서 아다 떼려고 왔다 하면 알아서 해주나요? 아니면 제가 좀 배우고? 가야 하나요?
비욕설|일반|아빠가 거기서 왜 나와 ㅋㅋ......
비욕설|일반|틀니 잘하는데 아는 사람 손
비욕설|섹슈얼|떡감좋게생겼네
비욕설|혐오|항상 현빈 씨는 배역이 비슷비슷 인생 그저 먹는 싹아지 없고 무례한 한남충 실장님에 이혼 3번 씩한 바람둥이에 귀신같이 캐스팅 이번 캐릭도 또 한남충
비욕설|일반|어제 윤석열 눈썹 옆에 유독 거슬리던 하얀 털.
비욕설|일반|허안나씨 진짜 예전부터 예쁘다고 생각했어요 축하드립니다
비욕설|일반|심한건 아니고 트림할 때 마다 올라오는 비린내 때문에 장복 못하겠네 지용성이라 밥 먹을 때 복용하래서 그렇게 하는데 와.. 그래도 올라오네. 그냥 고딩어를 꿔 먹어야겠다..
비욕설|섹슈얼|허벌도 만나보고 좁보도 만나봤지만 대부분 질 입구부분은 쪼이는건 잘해도 전체적으로 쥐어짜는건 잘 못하더라 오나홀은 돌기가 있는반면에 대부분 동굴같은 미끈미끈한 구멍이었지 각자 애인의 질 속 느낌 표현 자랑좀해보셔요
비욕설|혐오|네다음 동부산 틀딱
비욕설|일반|술먹고 남한테 피해만 안주면 되는거긴 하지...
욕설|혐오|네가 쳐맞던 뭔상관이여~ 맞고싶은면 쳐 맞으면 된거여~ 뭔 아가리를 여짝에서 놀려~ 씨벌넘아
욕설|혐오|현아 건더리지마라 큐브 붕 신발들아....지대로 아티스트 키우지도 못하던것들이
비욕설|섹슈얼|보지에 만두넣고 튀기기 보전깨랑 비슷한 ㅇㅂ어야
욕설|혐오|나이 많은 사람한테 이 년 저 년 그래도 되냐? 집에서 그렇게 배웠으면 어쩔 수 없겠지만... 설마 어머니한테도 저러지는 않지? 혹시 너 짱깨냐?
비욕설|혐오|아이즈원 민주인줄알고 놀라서 들어왔더만 듣보줌마였네 ㅡㅡ
비욕설|혐오|열폭들하ㅋㅋㅋ부럽냐 나이어린 마누라에 자식들4명에 돈도많겠다 남부러울거없는인생인거같은데 횽님홧팅입니다요
욕설|혐오|배우아니랄까봐 중국인하고 결혼하고 지짜는 모습만 보여주내 ㅋㅋ 감성 팔이 존나역겹다
비욕설|섹슈얼|손담비 보지 백보지구나..부럽다 .. 남친
욕설|혐오|애새끼들 처웃기다고 듣는거 개씹노이해
비욕설|섹슈얼|10~15일마다 1번씩 하는데요 할때마다 정액이 많이 나오고 오르가즘이 느껴지네요 매일하게되면 몸만 힘들고 쾌락이 느껴지지 않습니다.
비욕설|일반|악플 캡쳐 완료
비욕설|일반|세엉이는 다 존예들인듯!! 이세영 박세영 좋으다
비욕설|일반|맨날 놀다가 직원들 힘들다길래 현장 들어가서 같이해봤다 나야 20년정도 된 꼰대라 어렵진 않은데 직원들은 생산량이 많아서 힘들어하네 오전동안 직원들과 같이 근무해주고 이제 밥먹고 들어왔다. 오후에는 문서만 봐야될거같다 많이 밀려있다. 다들 수고
비욕설|일반|안녕하세요.. 다들 좋은아침입니다.. 이 글 보신 모든분들 오늘 한주의 시작인 월요일에 복이 넝꿀째 찾아올것 입니다 가족 모두가 만수무강 하길 바랍니다
비욕설|일반|축가는 김지민
비욕설|일반|와 차세찌 진짜부럽다 와....
욕설|섹슈얼|좃나 이쁘다 자지털 깎으니 애기들 자지같은데 크기도 애들 자지같네 시부럴 부랄이 더 커보이는 건 또 뭔지...
비욕설|혐오|연이도 어렸을땐 참 이뻤는데. 이제 40 넘고 퇴물되서 시집도 못가고. 재취자리 아니면 평생 혼자 살아야될 나이가 됐네
비욕설|혐오|꼭 보면 엠생/백수/모쏠아다/그지새키일수록 얼굴에 집착을하더라 ㅋㅋㅋ
비욕설|혐오|강지환팬은아니지만 감금되있으면 핸드폰은 쓰게하냐?그리고 남자집엔 왜쳐들어가 술마시냐? 하여간 또 뭐바라고 저러는거지
비욕설|일반|쓰레기봉투에 넣어 버려도대나?
비욕설|일반|그거야 그렇지...
비욕설|섹슈얼|언제는 사귀는거 아니라며?ㅋㅋㅋ 뻔한 거짓말을 왜 하는지 ㅉㅉㅉ 여하튼 남자가 임신공격은 성공했구만.
비욕설|혐오|쟤가 누군지도 모른는데 아이디를 왜 바꾸노? 단 두줄 적었는데 팩폭쳐맞고 뜨끔 했는지 댓글을 두개나 처달며 장황하게 개소리지껄이는거 보니 아주 뇌내망상 제대로 걸린 홍어틀딱 이신듯 홍딱어르신 자꾸 홍들홍들 거리시면 심근경색으로 착한홍어 될수 있으셔요^^
비욕설|일반|서울대가기가 더힘든건 사실이지.
비욕설|일반|만나지 얼마 안됐는데 여행가재
욕설|혐오|진짜 씹새끼네... 너네 부모님은 너 이러고 다니는거 아냐???
비욕설|일반|이성우에다 줄무늬여서 엘지랑 고교랑 하는 줄;;
